"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","trstsci","vote","contplt","donprty","badge","sgnptit","pbldmna","bctprd","pstplonl","volunfp","clsprty","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","lrnobed","loylead","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","dscrdk","dscrref","dscrnap","dscrna","ctzcntr","brncntr","cntbrthd","livecnta","lnghom1","lnghom2","feethngr","facntr","fbrncntc","mocntr","mbrncntc","ccnthum","ccrdprs","wrclmch","vteurmmb","vteubcmb","implvdm","gndr","yrbrn","edlvebe","edlvebg","edlvdch","edlvehr","edlvdcz","edlvdee","edlvdfi","edlvdfr","edlvegr","edlvdahu","edlvdis","edlvdie","edlveit","edlvdlt","edlvdme","edlvenl","edlveno","edlvdpt","edlvesi","edlvdsk","educgb1","edubgb2","edagegb","acchome","accwrk","accmove","accoth","accnone","accref","accdk","accna","fampref","famadvs","fampdf","mcclose","mcinter","mccoord","mcpriv","mcmsinf","chldo12","gndro12a","gndro12b","ageo12","hhlio12","closeo12","ttmino12","speako12","scrno12","phoneo12","como12","c19spo12","c19mco12","livpnt","pntmofa","agepnt","hhlipnt","closepnt","ttminpnt","speakpnt","scrnpnt","phonepnt","compnt","c19sppnt","c19mcpnt","stfmjob","trdawrk","jbprtfp","pfmfdjba","dcsfwrka","wrkhome","c19whome","c19wplch","wrklong","wrkresp","c19whacc","mansupp","manhlp","manwrkpl","manspeak","manscrn","manphone","mancom","teamfeel","wrkextra","colprop","colhlp","colspeak","colscrn","colphone","colcom","c19spwrk","c19mcwrk","mcwrkhom","inwds","inwde","inwtm","mode"
"ESS10e03_2",10,"3.2","02.11.2023",50297,"GB",0.56076133,0.36823434,4.7942204,1.7653966,0.0002020388,1372,10208,90,5,450,4,6,7,2,1,2,2,3,3,6,5,3,4,5,7,9,1,1,2,2,1,2,1,2,1,2,6,5,10,7,5,4,6,3,1,2,5,3,7,1,4,2,2,2,7,8,7,9,5,4,3,2,1,1,3,9,8,2,66,2,66,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",4,8,4,,,9,1,1960,,,,,,,,,,,,,,,,,,,,,7,6,16,1,1,1,1,0,0,0,0,5,5,5,9,9,10,9,10,1,6,1,34,2,2,8,88,3,7,1,3,2,4,6,666,6,6,6666,66,66,66,66,66,6,9,1,1,2,3,1,3,6,3,6,1,10,1,4,5,3,3,1,9,9,7,2,7,4,3,1,3,3,9,2022-03-01 14:51:00,2022-03-01 16:02:00,55,1
"ESS10e03_2",10,"3.2","02.11.2023",50344,"GB",1.1215227,0.8595067,4.7942204,4.1206646,0.0001010194,1473,10287,30,5,180,4,7,7,2,2,1,1,1,2,4,7,1,0,0,3,7,1,2,2,2,1,2,2,2,2,1,2,4,9,1,5,2,7,9,1,2,5,2,3,1,3,2,2,2,5,7,6,9,7,5,4,2,4,2,2,10,5,2,66,1,2,4,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",3,9,4,,,10,2,1954,,,,,,,,,,,,,,,,,,,,,4,11,15,1,0,0,1,0,0,0,0,2,2,1,7,2,8,9,10,3,2,6,48,2,1,0,3,7,3,1,2,1,4,6,666,6,6,6666,66,66,66,66,66,6,10,1,1,1,1,6,55,6,6,5,55,10,1,1,1,7,7,7,10,10,1,1,1,7,7,7,3,3,88,2021-10-11 14:02:00,2021-10-11 15:18:00,62,1
"ESS10e03_2",10,"3.2","02.11.2023",50347,"GB",0.56076133,0.42975336,4.7942204,2.0603323,0.0002020388,1398,10118,60,5,65,7,7,6,1,2,2,2,3,4,5,5,5,2,1,7,7,1,1,1,2,2,2,1,2,1,1,1,2,7,2,3,5,5,5,1,1,5,1,5,4,4,1,1,1,7,8,8,7,6,5,4,2,2,1,3,10,8,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",4,8,4,,,10,2,1950,,,,,,,,,,,,,,,,,,,,,5,5,15,1,0,1,0,0,0,0,0,4,3,5,8,9,9,7,7,2,1,6,53,2,1,0,3,7,3,1,3,3,4,6,666,6,6,6666,66,66,66,66,66,6,66,6,66,6,6,66,66,6,66,66,66,66,6,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,66,2022-05-05 19:35:00,2022-05-05 21:28:00,78,1
"ESS10e03_2",10,"3.2","02.11.2023",50378,"GB",2.2430453,3.970296,4.7942204,19.034473,0.0000505097,1430,10401,30,5,750,4,5,4,3,2,1,2,1,3,3,2,2,2,2,3,5,3,2,2,2,2,2,2,2,1,2,6,2,7,4,2,3,4,3,2,1,5,1,4,3,4,1,1,1,7,9,8,7,6,3,2,2,3,2,3,4,3,1,2,6,66,6,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"6666",6666,"ENG","999",2,2,"SL",1,"6666",4,5,2,,,8,1,2003,,,,,,,,,,,,,,,,,,,,,4,11,96,1,0,1,0,0,0,0,0,3,3,4,8,5,8,5,6,0,6,6,666,6,6,6666,66,66,66,66,66,6,1,1,47,2,1,10,6,3,3,3,4,3,3,4,3,1,3,6,55,6,5,5,55,1,2,2,3,7,7,6,6,0,4,1,3,7,7,7,3,3,0,2022-02-17 12:38:00,2022-02-17 14:04:00,70,1
"ESS10e03_2",10,"3.2","02.11.2023",50416,"GB",0.56076133,1.1690991,4.7942204,5.604919,0.0002020388,1410,10390,120,5,300,7,7,5,1,2,2,2,3,5,7,7,5,5,8,8,9,1,2,1,2,1,2,1,1,2,1,2,3,6,3,1,3,6,6,1,1,5,2,7,3,4,1,1,1,7,9,8,7,6,5,4,2,1,4,2,4,8,2,66,2,66,1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",5,7,3,,,10,1,1976,,,,,,,,,,,,,,,,,,,,,1,2,21,1,1,1,1,0,0,0,0,5,5,5,8,10,8,7,6,0,6,6,666,6,6,6666,66,66,66,66,66,6,3,6,78,2,3,1,5,7,4,2,4,2,5,5,3,3,2,1,2,1,2,2,1,5,2,6,7,4,4,3,6,1,6,2,4,4,4,1,3,2,8,2022-03-07 17:43:00,2022-03-07 19:06:00,66,1
"ESS10e03_2",10,"3.2","02.11.2023",50436,"GB",1.1215227,1.1029555,4.7942204,5.2878118,0.0001010194,1380,10408,120,5,540,5,8,8,1,4,4,3,3,7,9,8,3,4,1,8,8,1,2,2,2,2,2,2,2,2,2,6,5,5,2,4,6,5,7,1,1,5,1,1,2,2,2,2,2,5,6,5,7,4,1,2,2,3,1,3,8,6,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",4,8,5,,,10,1,1984,,,,,,,,,,,,,,,,,,,,,1,4,24,1,1,1,0,0,0,0,0,3,3,5,7,6,8,5,6,0,6,6,666,6,6,6666,66,66,66,66,66,6,1,1,65,2,3,0,5,6,5,5,3,3,5,3,3,4,3,2,1,1,6,6,2,10,1,5,6,3,6,2,4,7,6,2,6,2,5,1,5,4,8,2021-12-28 14:33:00,2021-12-28 15:50:00,64,1
"ESS10e03_2",10,"3.2","02.11.2023",50465,"GB",1.1215227,0.92439705,4.7942204,4.431763,0.0001010194,1466,10111,180,5,480,6,6,6,1,4,4,4,4,8,8,8,7,7,3,7,9,1,2,2,2,1,2,2,1,2,1,6,6,8,7,8,6,88,88,2,1,5,3,4,3,3,2,2,2,5,8,5,7,3,3,2,2,1,2,2,10,8,1,2,6,66,2,7,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",3,8,3,,,10,1,1966,,,,,,,,,,,,,,,,,,,,,1,2,22,1,1,1,0,0,0,0,0,5,5,5,10,10,10,10,10,1,6,2,14,1,1,6666,1,7,7,7,3,2,4,6,666,6,6,6666,66,66,66,66,66,6,7,4,3,3,2,1,1,1,1,5,1,8,2,5,4,4,4,3,8,8,7,2,7,4,4,4,4,2,10,2021-09-28 14:01:00,2021-09-28 15:05:00,39,1
"ESS10e03_2",10,"3.2","02.11.2023",50493,"GB",0.56076133,0.36823434,4.7942204,1.7653966,0.0002020388,1363,10367,120,1,6666,5,6,5,2,3,3,4,2,7,9,9,5,5,7,7,7,1,2,2,2,1,2,2,2,2,1,2,5,7,7,5,7,8,9,2,2,3,3,5,2,3,2,1,2,9,8,9,8,3,1,2,2,2,3,3,10,7,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",3,6,3,,,10,1,1949,,,,,,,,,,,,,,,,,,,,,7,11,16,0,0,0,0,1,0,0,0,1,1,1,6,5,6,7,9,0,6,6,666,6,6,6666,66,66,66,66,66,6,4,6,666,6,6,6666,66,66,66,66,66,6,66,6,66,6,6,66,66,6,66,66,66,66,6,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,66,2022-08-27 14:18:00,2022-08-27 15:22:00,59,1
"ESS10e03_2",10,"3.2","02.11.2023",50525,"GB",0.56076133,0.7973847,4.7942204,3.822838,0.0002020388,1367,10369,30,5,660,8,8,9,3,2,2,2,3,3,6,5,2,2,5,6,9,1,2,2,2,2,2,2,2,2,1,2,2,7,2,1,2,7,5,1,1,5,1,5,5,5,1,1,1,8,9,9,7,5,3,3,2,1,2,3,5,5,2,66,1,1,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",4,7,5,,,10,1,1995,,,,,,,,,,,,,,,,,,,,,1,4,23,1,1,1,0,0,0,0,0,3,4,5,7,7,9,7,7,0,6,6,666,6,6,6666,66,66,66,66,66,6,1,1,59,2,2,5,6,7,3,3,3,3,8,2,2,1,2,1,1,1,5,6,1,9,1,6,7,6,3,3,9,5,7,1,7,6,3,2,55,1,8,2022-02-08 16:07:00,2022-02-08 17:05:00,46,1
"ESS10e03_2",10,"3.2","02.11.2023",50535,"GB",0.56076133,0.7973847,4.7942204,3.822838,0.0002020388,1372,10208,0,5,240,5,5,4,4,3,1,2,1,5,5,4,5,5,5,5,10,2,2,2,2,2,2,2,2,2,2,6,5,4,5,5,5,5,10,1,1,5,1,5,3,3,2,2,2,5,5,5,4,2,2,5,1,2,3,2,10,5,2,66,2,66,1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",2,"CY",3,4,2,,,5,1,1994,,,,,,,,,,,,,,,,,,,,,4,9,18,1,1,0,1,0,0,0,0,3,2,5,10,7,10,5,5,0,6,6,666,6,6,6666,66,66,66,66,66,6,1,1,50,2,2,0,3,5,5,7,3,3,3,4,2,3,2,6,3,6,1,1,3,3,2,5,6,7,6,7,8,7,1,2,1,7,3,7,3,3,0,2022-04-19 15:35:00,2022-04-19 16:42:00,55,1
